Title,Aid,View,Danmaku,Reply,Favorite,Coin,Share,Like,Dislike,Pts
【叔岳】从上海迪士尼买回一只娃娃，改造成还原度超高的《冰雪奇缘》安娜公主（2p有迪士尼乐园vlog）,52198528,156087,3653,1183,12873,34419,629,30388,0,311492
【木鱼微剧场】《红楼梦》（p10）俏丫鬟抱屈夭风流，痴公子杜撰芙蓉诔,52183698,240681,4609,2048,6880,21970,782,20044,0,309906
显卡居然能娘化！？显卡娘化第四弹,52119054,184565,1371,1854,9425,9099,1066,11519,0,309825
这是我们 未曾经历的青春,52106692,89934,660,712,14952,14194,877,15887,0,294287
沙雕至极！蒙眼对砍！男人最简单的快乐！下巴都笑脱臼了！,52048464,284639,2510,1003,4349,8263,949,20380,0,292555
【吴亦凡】190511 北京演唱会 大碗宽面 首唱 持续更新中,52194553,232636,8186,2138,6542,3556,2356,8642,0,291299
宝宝们，我在这~ 女子潜逃国外自拍炫耀后被抓,52218642,339817,1440,3090,1469,1702,1757,11923,0,289912
【德云色解说MSI】5月11日 小组赛：IG vs SKT,52160209,325887,4158,1035,3205,5888,306,8697,0,288634
肥曈 | 教外国男友四川话  变态牙套惩罚,52191885,304078,17204,2275,3142,8981,1254,18834,0,282332
【瞎β操作】日本没有faker只有Otto 2019MSI入围赛,52179180,324250,1849,1336,3266,12025,923,12147,0,282098
杀手2这童真的彩蛋你曾见过？,51837628,255873,918,554,5841,17925,125,24159,0,277233
【前方高帅！FGO手书】永久冻土帝国：Master啊，这就是我的觉悟,52002229,175430,290,1679,7437,8394,346,9871,0,276695
即便摆出嫌弃讨厌的样子，我也非常喜欢！,52138705,211303,417,567,8277,8769,178,12350,0,271794
【全球13版解说合集】IG 16分钟虐杀SKT，震惊全球解说！,52170207,336150,2434,813,2283,1659,880,2895,0,269097
菲律宾小男孩在游泳池听到BLACKPINK的歌，马上跟着节奏扭起来,52147170,311236,583,407,4517,1036,2476,6214,0,266222
真香警告！扒一扒那些年因为名字而被放弃的绝世好文原耽系列1.0,52124629,191880,415,2955,6392,641,126,2634,0,266153
你的局座我的大海，听局座聊聊海上的那些事儿,52146612,260654,7350,1352,3938,9053,337,18306,0,260911
